,cost,opt,ratio,time,V,E,R
106,10,10,1.0,0.00014168996131047606,16,18,1
107,13,13,1.0,0.00014404300600290298,3,3,2
108,60,60,1.0,0.00021355203352868557,6,6,5
109,66,66,1.0,0.0004195409710519016,15,18,5
110,30,30,1.0,0.00017629400826990604,16,16,3
111,58,58,1.0,0.00036782195093110204,14,14,4
112,10,10,1.0,0.00014206598279997706,7,7,1
113,18,18,1.0,0.00014250900130718946,16,16,1
114,46,46,1.0,0.00044808402890339494,11,11,4
115,4,4,1.0,0.0001490589347667992,9,10,1
116,2,2,1.0,0.00013362901518121362,15,15,1
117,12,12,1.0,0.00013005599612370133,3,3,1
118,79,79,1.0,0.0006659019854851067,8,8,6
119,24,24,1.0,0.0002099419361911714,12,14,2
120,60,60,1.0,0.00032250897493213415,11,12,4
121,65,65,1.0,0.0002664190251380205,13,14,3
122,43,43,1.0,0.0001947440323419869,6,7,5
123,16,16,1.0,0.00018733495380729437,7,7,2
124,50,50,1.0,0.0003457599668763578,12,14,5
125,48,48,1.0,0.00030191801488399506,7,7,3
126,34,34,1.0,0.00020998797845095396,5,5,3
127,74,74,1.0,0.00037428003270179033,11,11,5
128,56,56,1.0,0.0002238180604763329,15,18,3
129,45,45,1.0,0.00032672996167093515,17,20,5
130,16,16,1.0,0.0001936000189743936,5,5,2
131,83,83,1.0,0.0002479860559105873,12,15,5
132,58,56,1.0357142857142858,0.0002799959620460868,12,15,5
133,40,40,1.0,0.0003123980131931603,12,14,4
134,20,20,1.0,0.00013403902994468808,6,7,1
135,58,58,1.0,0.00031159399077296257,10,11,4
136,18,18,1.0,0.00015025504399091005,5,5,2
137,70,69,1.0144927536231885,0.0003885740297846496,15,18,5
138,33,33,1.0,0.00028302002465352416,6,6,5
139,62,62,1.0,0.0002469499595463276,12,12,3
140,14,14,1.0,0.00012979097664356232,4,5,1
141,58,58,1.0,0.0003567580715753138,16,18,4
142,20,20,1.0,0.00013975397450849414,16,17,1
143,20,20,1.0,0.00014982704306021333,12,13,2
144,100,100,1.0,0.00042279495391994715,15,18,5
145,4,4,1.0,0.00014869001461192966,12,14,1
146,30,30,1.0,0.00016501103527843952,5,6,3
147,4,4,1.0,0.00012663198867812753,8,10,1
