,cost,opt,ratio,time,V,E,R
121,46,46,1.0,0.00045945600140839815,10,25,4
122,53,51,1.0392156862745099,0.00036022800486534834,12,32,4
123,49,49,1.0,0.0002225589705631137,5,5,3
124,35,35,1.0,0.0002679770113900304,12,31,2
125,51,51,1.0,0.00024009007029235363,8,13,5
126,62,62,1.0,0.0005115570384077728,11,26,7
127,42,42,1.0,0.00023453199537470937,8,17,3
128,37,37,1.0,0.00036987493513152003,11,26,5
129,68,68,1.0,0.0005825170665048063,13,37,7
130,51,51,1.0,0.00023296900326386094,8,17,3
131,38,38,1.0,0.00025299604749307036,8,17,3
132,40,40,1.0,0.0002917880192399025,11,28,5
133,22,22,1.0,0.0002018210361711681,5,5,5
134,42,42,1.0,0.00021134497364982963,9,23,2
135,55,55,1.0,0.00044419598998501897,12,32,6
136,48,48,1.0,0.0002180899609811604,4,3,2
137,59,59,1.0,0.0002525100135244429,7,12,5
138,43,43,1.0,0.00035792100243270397,10,21,4
139,36,36,1.0,0.00016240699915215373,4,3,3
140,46,46,1.0,0.00040494505083188415,13,37,7
141,52,52,1.0,0.0003167629474774003,10,22,5
142,51,51,1.0,0.0003492210526019335,13,37,5
143,31,31,1.0,0.00021743401885032654,7,12,2
144,53,53,1.0,0.00022397999418899417,10,22,3
145,60,60,1.0,0.0003889150102622807,11,26,6
146,52,52,1.0,0.0003510930109769106,8,14,4
147,25,25,1.0,0.00043649296276271343,13,37,4
148,34,34,1.0,0.00020253501133993268,9,23,2
149,50,50,1.0,0.00020190502982586622,10,25,5
150,34,34,1.0,0.0002805470139719546,7,10,5
151,42,42,1.0,0.00024246401153504848,7,10,4
152,39,39,1.0,0.0007628840394318104,14,43,6
153,39,39,1.0,0.0003438289859332144,10,25,4
154,45,45,1.0,0.00022677297238260508,8,14,4
155,25,25,1.0,0.00026550801703706384,5,5,4
156,38,38,1.0,0.00023509905440732837,8,13,4
157,38,38,1.0,0.00015788397286087275,5,5,3
158,52,52,1.0,0.0003083529882133007,10,25,4
159,52,52,1.0,0.00022822205210104585,7,12,4
160,27,27,1.0,0.0003947559744119644,12,32,4
161,50,50,1.0,0.00022690300829708576,14,43,3
162,47,47,1.0,0.0001645740121603012,9,19,3
163,34,34,1.0,0.0003746399888768792,10,25,7
164,47,47,1.0,0.0002749530249275267,5,5,4
165,34,34,1.0,0.0002168620121665299,6,8,6
166,51,47,1.0851063829787233,0.00036146899219602346,14,43,4
167,56,56,1.0,0.0004036590689793229,8,13,6
168,36,36,1.0,0.0003388799959793687,11,28,5
169,33,33,1.0,0.0003536010626703501,11,28,5
170,68,64,1.0625,0.0007522550295107067,11,26,7
171,32,32,1.0,0.0002531600184738636,6,8,3
172,26,26,1.0,0.0002990729990415275,5,5,3
173,48,48,1.0,0.000245426082983613,8,17,4
174,68,68,1.0,0.0005497210659086704,13,37,5
175,52,52,1.0,0.00023131701163947582,6,8,3
176,39,39,1.0,0.0002375359763391316,10,22,4
177,60,60,1.0,0.0004062000080011785,12,32,6
178,36,36,1.0,0.0003099109744653106,7,10,4
179,34,34,1.0,0.0003230809816159308,8,17,3
180,43,43,1.0,0.00023914704797789454,9,17,4
181,51,51,1.0,0.0002176179550588131,12,32,3
182,59,57,1.0350877192982457,0.0004150429740548134,10,22,5
183,68,68,1.0,0.00026169803459197283,10,21,6
184,66,66,1.0,0.000352021015714854,12,32,5
185,40,40,1.0,0.0003284019767306745,8,17,4
186,43,43,1.0,0.0003111900296062231,12,31,3
187,44,44,1.0,0.0002971630310639739,10,22,5
188,68,68,1.0,0.00019066897220909595,6,8,4
189,59,59,1.0,0.0004282990121282637,9,17,6
190,45,45,1.0,0.0002181219751946628,9,17,2
191,39,39,1.0,0.00021379999816417694,9,23,3
192,37,37,1.0,0.00036168796941637993,8,17,4
193,67,67,1.0,0.0002180580049753189,5,5,3
194,44,44,1.0,0.0003690690500661731,7,12,3
195,54,54,1.0,0.00031852303072810173,10,22,3
196,55,55,1.0,0.0004279350396245718,12,32,5
197,37,37,1.0,0.0002878960222005844,13,37,4
198,42,42,1.0,0.00033545197220519185,10,21,4
199,29,29,1.0,0.00021338299848139286,8,17,2
200,40,40,1.0,0.0001892930013127625,5,5,2
201,35,35,1.0,0.0005057270172983408,12,31,5
202,28,28,1.0,0.00017471704632043839,4,3,3
203,46,46,1.0,0.000328739988617599,7,10,4
204,40,40,1.0,0.00023626198526471853,12,32,2
205,63,63,1.0,0.00027917500119656324,9,17,7
206,35,35,1.0,0.0002505659940652549,10,25,4
207,48,48,1.0,0.0002955149975605309,8,14,2
208,56,56,1.0,0.0002523620496504009,8,17,5
209,31,31,1.0,0.0003915800480172038,6,8,3
210,39,39,1.0,0.00022739398991689086,5,5,4
211,58,58,1.0,0.0004291110089980066,9,17,7
212,40,40,1.0,0.00023601396242156625,9,17,6
213,57,57,1.0,0.00020441197557374835,9,17,5
214,34,34,1.0,0.00022705900482833385,6,8,4
215,58,58,1.0,0.0002723829820752144,9,23,4
216,37,37,1.0,0.00022739899577572942,9,23,4
217,25,25,1.0,0.0002795219770632684,6,8,2
218,60,57,1.0526315789473684,0.0003594809677451849,10,22,5
219,27,27,1.0,0.00040655501652508974,7,12,5
220,41,41,1.0,0.00021266500698402524,8,17,2
221,47,47,1.0,0.00047518499195575714,9,17,7
222,39,39,1.0,0.00027692801086232066,11,28,7
223,51,51,1.0,0.0003810030175372958,10,22,5
224,56,56,1.0,0.0002827639691531658,12,32,6
225,42,42,1.0,0.00031206500716507435,7,10,7
226,50,50,1.0,0.00034520402550697327,10,21,3
227,38,38,1.0,0.00018287100829184055,5,5,4
228,44,44,1.0,0.00033007306046783924,11,28,4
229,42,42,1.0,0.00024315901100635529,6,8,3
230,47,47,1.0,0.000364338920917362,10,22,6
231,33,33,1.0,0.000200473063159734,9,19,4
232,52,52,1.0,0.00034810800570994616,10,22,5
233,45,45,1.0,0.0003426480107009411,10,22,5
234,62,62,1.0,0.0002710469998419285,12,32,5
235,56,56,1.0,0.00032395002199336886,12,31,4
236,30,30,1.0,0.0001616280642338097,5,5,3
237,37,37,1.0,0.00019583007087931037,6,7,5
238,49,49,1.0,0.00024473294615745544,9,19,5
239,39,39,1.0,0.0004301470471546054,11,26,5
240,44,44,1.0,0.00041362002957612276,13,37,6
241,45,45,1.0,0.0004648169851861894,6,7,6
242,41,41,1.0,0.0003418039996176958,6,8,4
243,48,44,1.0909090909090908,0.0003250730223953724,8,17,4
244,43,43,1.0,0.00019860698375850916,8,13,5
